Metric,multi_hop,single_hop
BLEU,,
Faithfulness,8.038461538461538,8.942307692307692
Multi-hop Questions,59.61538461538461,25.0
Negative Questions,0.0,0.0
ROUGE,,
Relevancy,8.673076923076923,8.788461538461538
Single Best Answer,63.46153846153846,82.6923076923077
Specificity,8.153846153846153,8.076923076923077
